pointID,X,Y,Buffer_type,Area2000_road,Area2000_ref,Area2000_AC,Area2000_RC,Area2020_road,Area2020_ref,Area2020_AC,Area2020_RC,H2000_road,H2000_ref,H2000_AC,H2000_RC,H2020_road,H2020_ref,H2020_AC,H2020_RC,PD2000_road,PD2000_ref,PD2000_AC,PD2000_RC,PD2020_road,PD2020_ref,PD2020_AC,PD2020_RC,NPP2000_road,NPP2000_ref,NPP2000_AC,NPP2000_RC,NPP2020_road,NPP2020_ref,NPP2020_AC,NPP2020_RC,Area_AC_trend,Area_RC_trend,H_AC_trend,H_RC_trend,PD_AC_trend,PD_RC_trend,NPP_AC_trend,NPP_RC_trend,CEI_Diff,Nearest_Ref_Distance,Ref_Points_Used
10524.0000,-5688444.2710,-504465.7293,2.0000,100.0000,99.9777,0.0223,0.0112,100.0000,99.9758,0.0242,0.0121,28.2400,27.6499,0.5901,1.0558,28.1800,27.1634,1.0166,1.8370,1.0000,1.0003,-0.0003,-0.0130,1.0000,1.0397,-0.0397,-1.9448,1259.6000,1259.0839,0.5161,0.0205,1318.3000,1335.6889,-17.3889,-0.6552,0.0019,3.9887,0.4266,26.5484,-0.0394,-98.6975,-17.9050,-100.0000,0.0101,1000.0000,928
10707.0000,-5705444.2710,-505465.7293,2.0000,100.0000,99.9223,0.0777,0.0389,100.0000,99.5572,0.4428,0.2219,24.2600,27.3896,-3.1296,-6.0593,24.0000,26.6963,-2.6963,-5.3185,1.0000,1.0009,-0.0009,-0.0430,1.0000,1.0025,-0.0025,-0.1244,1285.6000,1247.8641,37.7359,1.4895,1348.4000,1329.8677,18.5323,0.6920,0.3651,70.1312,0.4333,7.4379,-0.0016,-48.6224,-19.2036,-34.1286,-0.0021,1000.0000,1143
10708.0000,-5704444.2710,-505465.7293,2.0000,100.0000,99.7852,0.2148,0.1075,100.0000,99.3786,0.6214,0.3117,28.8200,27.4939,1.3261,2.3548,27.3400,26.8030,0.5370,0.9918,1.0000,1.0008,-0.0008,-0.0376,1.0000,1.0040,-0.0040,-0.2000,1262.7000,1255.7247,6.9753,0.2770,1347.6000,1331.5696,16.0304,0.5983,0.4066,48.6192,-0.7891,-42.3532,-0.0033,-68.3802,9.0552,39.3605,0.0005,1414.2136,1134
10709.0000,-5703444.2710,-505465.7293,3.0000,100.0000,99.9438,0.0562,0.0281,100.0000,99.6999,0.3001,0.1503,29.6100,27.4621,2.1479,3.7636,28.2800,26.7107,1.5693,2.8537,1.0000,1.0005,-0.0005,-0.0267,1.0000,1.0016,-0.0016,-0.0776,1240.5000,1266.1267,-25.6267,-1.0224,1374.6000,1339.4170,35.1830,1.2963,0.2439,68.4544,-0.5787,-15.5675,-0.0010,-48.8758,60.8097,100.0000,-0.0029,2236.0680,1124
10710.0000,-5702444.2710,-505465.7293,3.0000,100.0000,99.8728,0.1272,0.0637,100.0000,99.8603,0.1397,0.0699,28.0300,27.7431,0.2869,0.5145,27.0700,27.0176,0.0524,0.0968,1.0000,1.0002,-0.0002,-0.0081,1.0000,1.0045,-0.0045,-0.2254,1294.5000,1267.2637,27.2363,1.0632,1343.2000,1341.1516,2.0484,0.0763,0.0125,4.6698,-0.2346,-69.1280,-0.0044,-93.0763,-25.1879,-86.0107,0.0007,2828.4271,1114
10711.0000,-5701444.2710,-505465.7293,4.0000,89.0000,99.9348,-10.9348,-5.7876,100.0000,99.9345,0.0655,0.0328,28.3400,27.8135,0.5265,0.9375,27.6600,27.0945,0.5655,1.0328,1.0000,1.0073,-0.0073,-0.3616,1.0000,1.0298,-0.0298,-1.4700,1221.9000,1267.5499,-45.6499,-1.8337,1346.1000,1340.4789,5.6211,0.2092,11.0003,100.0000,0.0390,3.5742,-0.0226,-60.8650,51.2710,100.0000,0.0006,3605.5513,1103
10712.0000,-5700444.2710,-505465.7293,4.0000,93.0000,99.8563,-6.8563,-3.5551,89.0000,99.7634,-10.7634,-5.7021,26.9800,27.6170,-0.6370,-1.1668,25.9000,26.8974,-0.9974,-1.8890,1.0000,1.0011,-0.0011,-0.0552,1.0000,1.0099,-0.0099,-0.4923,1244.6000,1271.7925,-27.1925,-1.0806,1369.3000,1336.9589,32.3411,1.1950,-3.9071,-22.1743,-0.3603,-22.0459,-0.0088,-79.9198,59.5336,100.0000,-0.0011,4242.6407,1092
10713.0000,-5699444.2710,-505465.7293,5.0000,100.0000,99.9208,0.0792,0.0396,93.0000,99.9163,-6.9163,-3.5851,21.8800,27.7668,-5.8868,-11.8573,21.2800,27.1121,-5.8321,-12.0518,1.0000,1.0000,0.0000,0.0000,1.0000,1.0237,-0.0237,-1.1709,1229.7000,1268.8402,-39.1402,-1.5665,1352.0000,1342.0733,9.9267,0.3685,-6.9956,-100.0000,0.0546,0.4662,-0.0237,-100.0000,49.0669,100.0000,0.0030,5000.0000,1080
10714.0000,-5698444.2710,-505465.7293,5.0000,100.0000,99.8731,0.1269,0.0635,100.0000,99.8671,0.1329,0.0665,27.3200,27.4818,-0.1618,-0.2952,27.3800,26.8971,0.4829,0.8897,1.0000,1.0008,-0.0008,-0.0395,1.0000,1.1025,-0.1025,-4.8752,1246.8000,1271.0784,-24.2784,-0.9642,1295.6000,1343.1745,-47.5745,-1.8029,0.0060,2.3241,0.6447,100.0000,-0.1017,-98.4704,-23.2961,-32.4219,0.0108,5656.8542,1069
10715.0000,-5697444.2710,-505465.7293,6.0000,100.0000,99.9482,0.0518,0.0259,100.0000,99.9359,0.0641,0.0321,25.9900,27.6956,-1.7056,-3.1770,25.5900,27.0135,-1.4235,-2.7060,1.0000,1.0102,-0.0102,-0.5058,1.0000,1.0423,-0.0423,-2.0695,1183.6000,1266.9855,-83.3855,-3.4027,1370.5000,1337.8884,32.6116,1.2041,0.0123,10.6031,0.2821,9.0164,-0.0321,-61.2160,115.9971,100.0000,0.0011,6403.1242,1057
